,0
Depth (m),20.428888888888892
Pressure (Decibar),20.61477777777778
Temperature (Celsius),14.185533333333332
Conductivity (mS/cm),10.121022222222221
Salinity (PSU),7.355844444444445
Oxygen (%),88.86488888888888
Oxygen (mg/l),8.831444444444445
Fluorescence (mkg/l),0.6228888888888888
Turbidity (FTU),0.8367777777777778
Sigma (kg/m3),4.53581111111111
Sound velocity (m/s),1469.6875555555557
Station,68001.0
Latitude,54.54144666666669
Longitude,19.65126666666668
