Datetime,Depth (m),Pressure (Decibar),Temperature (Celsius),Conductivity (mS/cm),Salinity (PSU),Oxygen (%),Oxygen (mg/l),Fluorescence (mkg/l),Turbidity (FTU),Sigma (kg/m3),Sound velocity (m/s),Station,Cruise,Latitude,Longitude,Laboratory,Chief,Probe,Check date
2024-08-27T11:17:18,10.83,10.93,19.812,11.283,7.205,96.71,8.44,1.18,0.72,3.632,1489.93,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,11.38,11.48,19.804,11.281,7.205,96.55,8.44,1.05,0.73,3.635,1489.91,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,12.03,12.14,19.773,11.277,7.207,96.02,8.4,1.05,0.71,3.647,1489.83,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,12.6,12.71,19.743,11.271,7.208,95.49,8.35,0.98,0.69,3.656,1489.75,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,13.1,13.22,19.719,11.266,7.209,95.42,8.35,0.96,0.7,3.665,1489.69,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,13.61,13.73,19.712,11.262,7.207,95.27,8.33,0.97,0.67,3.667,1489.67,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,14.11,14.24,19.703,11.26,7.207,94.9,8.31,0.96,0.65,3.672,1489.66,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,14.65,14.78,19.684,11.253,7.206,94.85,8.31,1.01,0.63,3.677,1489.61,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,15.28,15.42,19.67,11.255,7.209,94.36,8.26,0.9,0.64,3.686,1489.58,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,15.78,15.92,19.665,11.25,7.207,94.38,8.26,0.95,0.63,3.687,1489.57,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,16.43,16.58,19.659,11.25,7.208,94.16,8.25,0.85,0.63,3.692,1489.56,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,16.83,16.98,19.657,11.251,7.209,94.43,8.27,0.84,0.6,3.695,1489.56,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,17.41,17.57,19.655,11.25,7.208,94.61,8.29,0.79,0.64,3.697,1489.57,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,18.03,18.19,19.654,11.253,7.21,94.24,8.25,0.77,0.6,3.702,1489.58,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,18.42,18.59,19.653,11.246,7.206,94.25,8.25,0.81,0.62,3.701,1489.57,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,19.1,19.27,19.65,11.249,7.208,94.11,8.24,0.68,0.74,3.706,1489.58,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,19.53,19.71,19.643,11.248,7.209,94.08,8.24,0.8,0.58,3.71,1489.56,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,20.18,20.36,19.632,11.244,7.208,93.72,8.21,0.69,0.56,3.715,1489.54,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,20.69,20.88,19.623,11.24,7.207,93.54,8.2,0.69,0.64,3.718,1489.52,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,21.36,21.55,19.617,11.24,7.207,93.6,8.2,0.76,0.55,3.723,1489.51,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,21.91,22.11,19.609,11.237,7.207,93.42,8.19,0.69,0.56,3.727,1489.5,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,22.39,22.59,19.578,11.23,7.207,92.33,8.15,0.59,0.54,3.735,1489.41,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,22.81,23.02,19.364,11.219,7.236,86.94,7.76,0.6,0.53,3.805,1488.8,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,23.37,23.58,19.026,11.171,7.261,82.68,7.42,0.53,0.52,3.895,1487.79,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,24.08,24.3,18.725,11.083,7.251,80.95,7.3,0.43,0.67,3.953,1486.86,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,24.59,24.81,18.447,11.017,7.252,79.96,7.22,0.44,0.51,4.011,1486.0,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,25.07,25.3,18.259,10.976,7.256,78.75,7.16,0.5,0.57,4.053,1485.41,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,25.59,25.82,17.536,10.931,7.351,74.88,7.15,0.43,0.66,4.268,1483.23,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,26.25,26.49,15.192,10.808,7.697,73.77,7.99,0.38,0.8,4.952,1475.86,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,26.77,27.01,12.053,10.022,7.698,72.77,8.16,0.28,0.78,5.412,1464.68,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,27.31,27.56,9.916,9.563,7.755,75.38,8.71,0.28,0.62,5.701,1456.62,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,27.9,28.15,8.367,9.352,7.906,76.64,9.05,0.29,0.53,5.961,1450.65,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,28.39,28.65,7.278,8.906,7.738,78.51,9.33,0.26,0.48,5.909,1445.96,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,28.88,29.14,6.692,8.651,7.628,78.98,9.42,0.27,0.46,5.86,1443.37,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
2024-08-27T11:17:18,29.57,29.84,6.163,8.497,7.599,80.21,9.61,0.29,0.43,5.867,1441.09,68001,AI68,54.54144666666667,19.65126666666667,"LGE,LPO","Bubnova,Krechik",SAIV SD208,21.08.2024
